"Группа";"Критерии качества";"Определение";"Метод измерения";"Гранулярность оценки"
"Релевантность";"Consistency";"Согласованность (непротиворечивость) фактов внутри одного ответа";"[https://www.trulens.org/getting_started/core_concepts/iterative_rag/5_helpful_eval/]";""
"Релевантность";"Factuality";"Фактичность: ответ абстрактный или точный?";"-";""
"Релевантность";"Thematic relevance";"Совпадает ли тематика запроса и тематика ответа";"https://www.trulens.org/getting_started/core_concepts/iterative_rag/5_helpful_eval/";""
"Релевантность";"Irrelevant";"Отсутствие в ответе не выдуманных, но лишних (дополнительных) фактов, не относящихся к вопросу
Отсутствие избыточной информации (воды)";"https://arxiv.org/html/2408.10615v1
POLLUX";"0 - В ответе модели очень много избыточной информации (воды). Кажется, что модель просто льет воду, чтобы написать необходимое количество знаков.
1 - В ответе модели приемлемое количество избыточной информации, но хотелось бы меньше. В целом все по существу, но встречаются идеи, которые здесь непонятно зачем и не способствуют раскрытию темы.
2 - В ответе модели все по существу. Нет (или практически нет) воды, все фразы способствуют раскрытию темы."
"Релевантность";"Правильность извлечения информации";"Данный критерий оценивает способность модели выписать из текста какую-либо информацию по запросу пользователя.
Проверяем, что выписано только то, что требуется. Нет лишних выписанных элементов.";"POLLUX";"0 - Ответ модели содержит три и более ошибок (либо чего-то не хватает, либо что-то лишнее).
1 - Ответ модели содержит одну-две ошибки (либо чего-то не хватает, либо что-то лишнее).
2- Ответ полностью верный."
"Релевантность";"Непротиворечие фактам реального мира";"Актуальность и точность фактической общеизвестной информации";"POLLUX";"0 - В ответе модели много фактических ошибок; ответ искажает законы действительности.
1 - Ответ модели в целом выглядит удачной генерацией, но есть некоторые фактические неточности.
2 - В ответе модели нет фактических ошибок."
"Релевантность";"Завершённость";"План действий должен быть завершенным, приводить пользователя к запрошенной цели";"POLLUX";"0 - План действий незаконченный, обрывается на середине, без достижения цели пользователя.
1 - План действий завершенный, но может содержать неточности или упускать не существенную информацию, которая не помешает достичь цели
2 - План действий завершенный, содержит все необходимые пункты для достижения цели."
"Фактология";"Aspect Relevance";"Актуальность информации с исторической точки зрения";"На основании опорной точки";""
"Фактология";"Missing";"Полнота: все ли важные факты упомянуты в ответе";"На основании опорной точки";""
"Фактология";"Hallucination";"Отсутствие в ответе ложных (выдуманных) фактов";"На основании опорной точки";""
"Фактология";"Оптимальный подход";"Использован оптимальный подход к решению задачи.";"POLLUX";"0 - Выбранный подход существенно усложняет изначальную задачу, делая ее фактически нерешаемой.
1 - Выбранный метод решения задачи является правильным и фактологически корректным. Однако, использованный подход усложняет задачу, вводя дополнительные вычислительные трудности.
2 - Эталонный метод решения задачи, наиболее быстрый и простой."
"Фактология";"Качество рассуждений";"Логика и глубина рассуждений модели";"POLLUX";"0 - Рассуждения неверные и совершенно нелогичные.
1 - Рассуждения верные, но хотелось бы, чтобы они были более полными и глубокими.
2 - Рассуждения логичные, глубокие и правильные."
"Фактология";"Точность и аргументированность оценки";"оценивает способность модели аргументировать и осуществлять оценку на должном экспертном уровне.
— Оценка должна быть основана на проверке тезисов, фактов, гипотез, аргументов, их уместности, а также логической стройности и соответствия жанровой специфике.
— Оценка должна быть подробно и качественно аргументированной. Между оценкой и аргументацией оценки не должно быть противоречий.";"POLLUX";"0 - Оценка выполнена на поверхностном уровне, проанализированы не все требуемые аспекты текста/текстов, оценка дана принципиально неверно и/или не совпадает с аргументами (например, если модель понимает, что текст невысокого качества, но ставит высокую оценку).
1 - Оценка в целом дана верно, аргументы соответствуют оценке, но оценка выполнена довольно поверхностно, нет должной глубины.
2 - Оценка выполнена экспертно, есть глубокие рассуждения, подмечены интересные особенности оригинала, аргументация соответствует выставленной оценке."
"Контент";"Корректность решения";"Шаги решения корректны и последовательны, приводят к полученному ответу";"POLLUX";"0 - В решении допущены существенные и/или многочисленные ошибки или решение отсутствует.
1 - В решении допущены небольшие неточности в описании рассуждений, не обозначены используемые теоремы или методы, при этом приведены правильные вычисления, приводящие к правильному ответу. Или ответ частично правильный - в решении представлены рассуждения приводящие к ответам не на все вопросы задания, или рассуждения для части вопросов не верны.
2 - В решении представлены корректные последовательные рассуждения, обозначены используемые теоремы и методы, отсутствуют ошибки в вычислениях."
"Контент";"Достаточность решения";"Решение расписано подробно, достаточно для понимания и воспроизведения учеником 10-11 классов неспециализированных школ / студентом старших курсов математических специальностей";"POLLUX";"0 - Решение не связно, или пропущены значимые шаги в рассуждениях, которые не позволяют восстановить цепочку рассуждений / использованы рассуждения с применением знаний, выходящих за рамки уровня сложности задачи.
1 - В решении пропущена часть рассуждений, влияющих на понимание хода решения, при этом приведены все необходимые вычисления, позволяющие восстановить цепочку рассуждений. Решение связно, все элементы логического рассуждения выписаны.
2 - В решении приведены все необходимые вычисления, возможно за исключением арифметических выкладок или операций, подобных уже приведенным."
"Контент";"Completeness";"Завершенность, целостность";"";""
"Контент";"fluency";"Беглость (легкость) чтения, сложность текста для восприятия человеком";"Coleman-Liau Index (COLE) + нормировка для русского языка [https://arxiv.org/pdf/2301.02975.pdf]";""
"Контент";"Лингвистическая приемлемость текста";"Грамотность построенного предложения, пунктуация и структура предложения.";"RuCOLA [https://huggingface.co/RussianNLP/ruRoBERTa-large-rucola ]";""
"Контент";"Орфография";"Грамотность текста с точки зрения правильного написания и построения слов в предложении";"Для оценки орфографии используются частота ошибок в словах, частота ошибок в символах, потерянная информация оцененная относительно модели SAGE : WER (Word Error Rate), MER (Match Error Rate), WIL (Word Information Lost), CER (Character Error Rate) [https://github.com/jitsi/jiwer]";""
"Контент";"Языковая совместимость";"Вопрос и ответ должны быть на одном языке. В ходе ответа на вопрос не должно быть переключений на сторонний язык, за исключением спецефичных для языка терминов";"https://www.trulens.org/getting_started/core_concepts/iterative_rag/5_helpful_eval/";""
"Контент";"Отсутствие артефактов";"Есть ли в ответе модели артефакты (ненужные элементы, например внезапные иероглифы, отдельные слова на другом языке без явной на то причины";"POLLUX";"0 - Ответ модели читаем, его можно оценивать дальше, однако содержит довольно много артефактов генерации, слова на другом языке, иероглифы, лишние эмодзи и т. д., что ощутимо мешает восприятию.
1 - Ответ модели почти не содержит артефактов — один-два артефакта.
2 - Ответ модели не содержит артефактов."
"Контент";"Есть ли критичное нарушение формата";"Нужно ли вообще дальше размечать ответ модели по другим критериям или ответ модели не читаем и его невозможно разметить.";"POLLUX";"0 - Ответ модели читаем и его можно оценивать дальше по другим критериям.
1 - В ответе модели есть чрезмерное зацикливание, либо много артефактов, либо ответ модели полностью на другом языке, либо модель просто переписала запрос пользователя. Оценивать ответ модели дальше не имеет смысла."
"Контент";"Ответа нет, но есть заглушка цензора?";"Был ли получен ответ модели или вместо ответа вы видите заглушку с текстом «К сожалению, генеративные модели не могут говорить на такие темы» или схожий текст, в котором модель уходит от ответа.";"POLLUX";"0 - Цензор НЕ сработал, можно оценивать ответ модели дальше, по другим критериям.
1 - Цензор сработал, оценивать нечего."
